10656
ATR-X syndrome	C538258
cholecystitis	D002764
lipidemia	D006949
lymphadenopathy	D008206
cardiovascular toxicity	D002318
bone marrow hypoplasia	D001855
Angina, Unstable	D000789
Cardiomyopathy, Familial Hypertrophic, 6	C563436
DEAFNESS, AUTOSOMAL RECESSIVE 88	615429
microangiopathic hemolytic anemia	D000743
ATAXIA-OCULOMOTOR APRAXIA 4	616267
Neuropathy, Painful	C564945
Pulmonary hypertension	D006976
PEROXISOME BIOGENESIS DISORDER 7A (ZELLWEGER)	614872
muscular dystrophy	D009136
epileptic	D004827
INTELLECTUAL DEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, SEIZURES, AND DISTAL LIMB ANOMALIES	617452
long-QT syndrome	D008133
Anemia, Aplastic	D000741
Amyloidosis, Hereditary, Transthyretin-Related	C567782
Ectopia Lentis	D004479
Linitis Plastica	D008039
LEBER CONGENITAL AMAUROSIS 15	613843
allergic	D004342
coronary disease	D003327
renal damage	D058186
Familial medullary thyroid carcinoma	C536911
Hydroxykynureninuria	C536081
Cardiac Tamponade	D002305
Moraxellaceae Infections	D045828
kidney diseases	D007674
Thyroid Hormone Resistance Syndrome	D018382
Absent corpus callosum cataract immunodeficiency	C535566
Uterine Cervical Neoplasms	D002583
Pellagra	D010383
Splenic Infarction	D013159
Spastic paraplegia 3, autosomal dominant	C536864
Toxemia	D014115
Diarrhea 5, With Tufting Enteropathy, Congenital	C567703
Eosinophilic Esophagitis	D057765
ATRIAL FIBRILLATION, FAMILIAL, 14	615378
cirrhosis of the liver	D008103
Cutis marmorata telangiectatica congenita	C536226
MICROPHTHALMIA, ISOLATED 8	615113
facial dermatitis	D005148
Autoimmune polyendocrinopathy syndrome, type 1	C538275
Epidermolysis bullosa, lethal acantholytic	C535493
memory dissociation	D008569
3-Methylglutaconic Aciduria, Type I	C562801
pleural and pericardial effusion	D010996
COENZYME Q10 DEFICIENCY, PRIMARY, 5	614654
IMMUNODEFICIENCY 48	269840
Lateral Sinus Thrombosis	D020227
low back and right leg pain	D010146
Cardiomyopathy, Dilated, 1o	C563906
Fanconi Anemia	D005199
dystonic	D020821
Dermatopathia pigmentosa reticularis	C535374
Aggressive Periodontitis	D010520
Coccidioidomycosis	D003047
Retroperitoneal liposarcoma	C538370
Paraganglioma	D010235
syncopal attacks	D013575
autoimmune disease	D001327
Clostridium Infections	D003015
Otomycosis	D059249
Diabetes	D003920
SPASTIC PARAPLEGIA 73, AUTOSOMAL DOMINANT	616282
Spinal Fractures	D016103
Erythrocytosis, Familial, 3	C565221
Hypoxia, Brain	D002534
Sick Building Syndrome	D018877
TOBACCO ADDICTION, SUSCEPTIBILITY TO	188890
Ventricular Outflow Obstruction	D014694
Neoplasm Recurrence, Local	D009364
Bidirectional tachycardia	C535438
Osteosclerosis	D010026
Enterocolitis, Necrotizing	D020345
Cryopyrin-Associated Periodic Syndromes	D056587
pyeloureteritis cystica	D011702
tachyarrhythmias	D013610
Hashimoto Disease	D050031
Beta ketothiolase deficiency	C535434
Epidermal Nevus	C580062
infection	D007239
Complement Component 3 Deficiency, Autosomal Recessive	C565169
Metrorrhagia	D008796
Angiosarcoma	D006394
anophthalmia	D000853
HETEROTAXY, VISCERAL, 6, AUTOSOMAL	614779
MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA	614299
Cryoglobulinemia	D003449
MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 9	615145
spinal cord ischemia	D020760
tuberculosis of the lung or lymph node	D014388
Anemia, Refractory	D000753
OROFACIODIGITAL SYNDROME XIV	615948
Blindness	D001766
2,4-Dienoyl-CoA Reductase Deficiency	C565624
AMYOTROPHIC LATERAL SCLEROSIS-PARKINSONISM/DEMENTIA COMPLEX 1	105500
daytime sleepiness	D012893
Kufor-Rakeb syndrome	C537177
THIOPURINES, POOR METABOLISM OF, 2	616903
Spondyloepimetaphyseal Dysplasia, Missouri Type	C566574
Thyroid Dyshormonogenesis 6	C564608
myocardial and kidney injury	D007674
HYPOGONADOTROPIC HYPOGONADISM 21 WITH OR WITHOUT ANOSMIA	615271
Paraparesis, Spastic	D020336
Leukoencephalopathies	D056784
MENTAL RETARDATION, AUTOSOMAL DOMINANT 22	612337
Xanthomatosis, Cerebrotendinous	D019294
Deafness, Autosomal Recessive 12	C563327
Joubert syndrome 2	C536294
renal carcinomas	D002292
Colorectal Cancer, Hereditary Nonpolyposis, Type 4	C563971
Autistic Disorder	D001321
Striatonigral degeneration infantile	C537500
MYOPATHY DUE TO MYOADENYLATE DEAMINASE DEFICIENCY	615511
Ascariasis	D001196
RETINITIS PIGMENTOSA 39	613809
Epiphyseal dysplasia, multiple, 4	C535504
behavioral impairment	D001523
Hypersensitivity, Immediate	D006969
Neoplasm Seeding	D009366
Learning and memory deficits	D007859
Mycosis Fungoides	D009182
Leukemia, Large Granular Lymphocytic	D054066
PONTOCEREBELLAR HYPOPLASIA, TYPE 9	615809
Elephantiasis	D004604
Malabsorption Syndromes	D008286
Bleeding Disorder due to Defective Thromboxane A2 Receptor	C566055
milk fever	D010319
Egg Hypersensitivity	D021181
Hypocapnia	D016857
Optic Atrophy	D009896
Fibular hypoplasia and complex brachydactyly	C537931
FICOLIN 3 DEFICIENCY	613860
anotia	D065817
Leukodystrophy, Hypomyelinating, 5	C567166
Autoimmune Lymphoproliferative Syndrome	D056735
Keratosis Linearis with Ichthyosis Congenita and Sclerosing Keratoderma	C566600
TREACHER COLLINS SYNDROME 2	613717
decreased basal ganglia perfusion	D001480
glucose tolerance curves	D018149
MYOCLONUS, INTRACTABLE, NEONATAL	617235
Osteochondroma	D015831
PEROXISOME BIOGENESIS DISORDER 9B	614879
LEFT VENTRICULAR NONCOMPACTION 8	615373
organic mental disorder	D019965
carcinoma of the breast	D001943
Cryptococcosis	D003453
increased cardiac output	D016534
type II diabetes mellitus	D003924
LOEYS-DIETZ SYNDROME 2	610168
Krabbe Disease, Atypical, due to Saposin A Deficiency	C567097
liver injury	D056486
Abscess	D000038
Multiple Acyl Coenzyme A Dehydrogenase Deficiency	D054069
Hearing Loss, Sensorineural	D006319
pelvic pain	D017699
Achalasia Addisonianism Alacrimia syndrome	C536008
Aarskog Syndrome	C535331
glomerular and tubular injury	D007674
Microcephaly, Primary Autosomal Recessive, 3	C565746
breast-cancer	D001943
Infant Nutrition Disorders	D007228
Necrotic blisters	D001768
Stuttering	D013342
Serotonin syndrome	D020230
rise in resting blood pressure	D006973
Respiration Disorders	D012120
Pyruvate Dehydrogenase E3-Binding Protein Deficiency	C565447
Brain injury	D001930
Moyamoya disease 2	C536992
Glycogen Storage Disease Type I	D005953
Tuberculosis, Renal	D014398
hematoma	D006406
Protein Aggregation, Pathological	D066263
Inclusion Body Myopathy 3, Autosomal Dominant	C565311
Scaphocephaly, Maxillary Retrusion, And Mental Retardation	C566511
Coronary Vessel Anomalies	D003330
Nance-Horan syndrome	C538336
HBV and HIV co-infected	D006509
Pneumonia, Aspiration	D011015
Paracoccidioidomycosis	D010229
POROKERATOSIS 8, DISSEMINATED SUPERFICIAL ACTINIC TYPE	616063
Pelvic Pain	D017699
Polyendocrinopathies, Autoimmune	D016884
Lupus Erythematosus, Discoid	D008179
adenomyosis	D062788
Impulsiveness	D010554
Spondylometaphyseal dysplasia, Kozlowski type	C535797
Cryptosporidiosis	D003457
Canavan Disease	D017825
vessel rupture	-1
intraarterial lesions	D014652
systemic mastocytosis	D034721
Colonic Diseases	D003108
Blister	D001768
Common Bile Duct Diseases	D003137
Infarction, Middle Cerebral Artery	D020244
Stevens-Johnson Syndrome	D013262
NEPHRONOPHTHISIS 20	617271
Bunyaviridae Infections	D002044
Deafness, Autosomal Recessive 42	C566460
Berylliosis	D001607
Reye	D012202
Keratosis Palmoplantaris Striata II	C565102
nasal hypoplasia	-1
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 54	617028
Lentigo	D007911
Dwarfism, Pituitary	D004393
Tangier Disease	D013631
IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 4	616911
BLEEDING DISORDER, PLATELET-TYPE, 21	617443
Deafness, Autosomal Recessive 39	C564265
ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10	615024
skin rash	D005076
Leprosy, Borderline	D015439
oliguric renal failure	D051437
Hypocalcemia, Autosomal Dominant, with Bartter Syndrome	C563374
Hypobetalipoproteinemia, Familial, 2	C565732
acidosis	D000138
Osteochondritis	D010007
collagen vascular disease	D003095
Leukoplakia, Oral	D007972
Trichostrongyloidiasis	D014252
Nutrition Disorders	D009748
Myopathies, Structural, Congenital	D020914
gastric adenocarcinoma	D013274
Fragile X Tremor Ataxia Syndrome	C564105
MENTAL RETARDATION, AUTOSOMAL DOMINANT 43	616977
Peripheral Arterial Disease	D058729
bone marrow necrosis	D001855
Hypoxia	D000860
Ehlers-Danlos Syndrome, musculocontractural type 1	C000600608
Fallopian Tube Neoplasms	D005185
Hypoadiponectinemia	C567258
Hemobilia	D006431
endometrial hyperplasia or cancer	D004714
postoperative complication	D011183
Dysostoses	D004413
Tricuspid Atresia	D018785
HC	D006470
Microcephaly, Primary Autosomal Recessive, 6	C564247
BRACHYDACTYLY, TYPE E2	613382
parasomnias	D020447
Pulmonary Eosinophilia	D011657
Pyomyositis	D052880
HETEROTAXY, VISCERAL, 5, AUTOSOMAL	270100
Hot Flashes	D019584
Fatty liver	D005234
detrimental effect on memory and cognition	D008569
DiGeorge Syndrome	D004062
Genetic Predisposition to Disease	D020022
downbeat nystagmus	D009759
MDM	D007645
Muscular Dystrophies	D009136
loss of hearing	D034381
Spherocytosis, Type 5	C567202
Thyroid Dyshormonogenesis 3	C562769
Milk Hypersensitivity	D016269
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 45	617153
Oropharyngeal Neoplasms	D009959
Episodic Ataxia, Type 6	C567207
Vertebrobasilar Insufficiency	D014715
MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, NUCLEAR TYPE 4	615228
Angiomatosis	D000798
Muscle Hypotonia	D009123
Glycogen Storage Disease Type V	D006012
Disseminated Intravascular Coagulation	D004211
COWDEN SYNDROME 6	615109
Retinal Cone Dystrophy 3A	C566483
myopathic disease	D009135
intrahepatic cholestasis	D002780
Neurofibromatosis 2	D016518
Tendon Injuries	D013708
ocular myasthenia	D009157
thyrotoxicosis	D013971
Abdominal Pain	D015746
Bacteriuria	D001437
atrioventricular conduction delay	D054537
bladder inflammation	D003556
SPASTIC PARAPLEGIA 48, AUTOSOMAL RECESSIVE	613647
renal tubular acidosis	D000141
Ectoparasitic Infestations	D004478
Eye Infections, Fungal	D015821
Bone Diseases, Metabolic	D001851
Rhinitis	D012220
prostatitis	D011472
Hypothyroidism, Congenital, Nongoitrous, 1	C576976
Chemical and Drug Induced Liver Injury, Chronic	D056487
myocardial infarction	D009203
posterior reversible encephalopathy syndrome	D054038
myoclonic, atypical absence and/or atonic (minor motor) seizures	D004831
HEPATIC LIPASE DEFICIENCY	614025
Cardiomyopathy, Familial Hypertrophic, 1	C566005
seizures	D012640
chronic hepatic enzyme dysfunction	D056487
Congenital bilateral aplasia of vas deferens	C535984
Medium chain acyl CoA dehydrogenase deficiency	C536038
human immunodeficiency virus (HIV) co-infection	D015658
neoplasia	D009369
Hyperphosphatemia	D054559
cerebral and pulmonary hemorrhage	D006470
undifferentiated carcinoma	D002277
Gaucher Disease, Type Iiic	C565553
Stress Disorders, Traumatic	D040921
Wet Macular Degeneration	D057135
Orbital Pseudotumor	D016727
Epilepsy, X-Linked, with Variable Learning Disabilities and Behavior Disorders	C564505
Vanishing White Matter Leukodystrophy with Ovarian Failure	C565836
Diabetes Complications	D048909
squamous cell esophageal carcinoma	C562729
Glaucoma, Angle-Closure	D015812
DEVELOPMENTAL DELAY WITH SHORT STATURE, DYSMORPHIC FACIAL FEATURES, AND SPARSE HAIR	616901
NMS	D009459
bladder and liver tumours	D008113
Meier-Gorlin syndrome	C538012
contracture	D003286
DEAFNESS, AUTOSOMAL RECESSIVE 61	613865
Fanconi like syndrome	C536855
Heme Oxygenase 1 Deficiency	C564200
Aging, Premature	D019588
Tick Infestations	D013984
Rhinitis, Vasomotor	D012223
QTc interval prolongation	D008133
Optic Atrophies, Hereditary	D015418
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 44	617132
sensory disturbance	-1
transient ischemic attack	D002546
ischemic hemisphere	D002545
heart block	D006327
Fetal Weight	D020567
Bruck syndrome 2	C537407
Urinary Incontinence	D014549
Synpolydactyly 2	C564278
Epilepsy, Familial Adult Myoclonic, 3	C567098
Deglutition Disorders	D003680
Heart Septal Defects, Atrial	D006344
Syphilis	D013587
cerebral venous sinus and internal carotid artery thrombosis	D002341
Chlamydia Infections	D002690
Cell Transformation, Neoplastic	D002471
Blastomycosis	D001759
renal cell carsinom	D002292
Caudal Duplication Anomaly	C564315
Sarcoma, Synovial	D013584
Choroidal sclerosis	C535358
Valvular heart disease	D006349
Snyder Robinson syndrome	C536678
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN	617101
Mental Retardation, Autosomal Recessive 6	C567017
arterial or venous thromboemboli	D001157
Nemaline Myopathy 2	C538349
AVRT	D013611
Intestinal Diseases, Parasitic	D007411
Impotence, Vasculogenic	D018783
Facial Pain	D005157
Leishmaniasis, Visceral	D007898
Porphyria Cutanea Tarda	D017119
Polymicrogyria, Bilateral Frontoparietal	C564652
DIAMOND-BLACKFAN ANEMIA 13	615909
hypoalbuminemia	D034141
HYPERBILIVERDINEMIA	614156
Coffin-Siris syndrome	C536436
Coronary heart disease	D003327
DEAFNESS, AUTOSOMAL RECESSIVE 18B	614945
diabetes mellitus	D003920
elevated blood pressures	D006973
Myostatin-related muscle hypertrophy	C536106
Tay-Sachs Disease, AB Variant	D049290
hypercalcemic	D006934
Murine Acquired Immunodeficiency Syndrome	D016183
Juvenile osteoporosis	C537700
Epidermolysis Bullosa Simplex With Pyloric Atresia	C567408
Nociceptive Pain	D059226
Digital Arthropathy-Brachydactyly, Familial	C564656
NS	D009404
ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 8	613207
SPASTIC PARAPLEGIA 45, AUTOSOMAL RECESSIVE	613162
Capillary Leak Syndrome	D019559
PREMATURE OVARIAN FAILURE 8	615723
depressive and psychotic symptoms	D011618
Scleroderma renal crisis	D007674
PROTEASOME-ASSOCIATED AUTOINFLAMMATORY SYNDROME 1	256040
Hypomagnesemia primary	C537153
myelitis	D009187
dissecting aneurysm	D000784
Craniofacial Dysostosis	D003394
HAREL-YOON SYNDROME	617183
MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATES	616231
Hypophosphatemic Rickets, Autosomal Recessive, 2	C567647
Legionnaires' Disease	D007877
Cavitary Optic Disc Anomalies	C566924
hyper- or dyskinetic	D004409
steatosis	D005234
psychosis	D011605
46, XY Sex Reversal 5	C567766
Dysfunctional overnight memory	D008569
muscle tremors	D014202
Anemia, Sickle Cell	D000755
Acneiform Eruptions	D017486
Multiple Endocrine Neoplasia Type 2a	D018813
CATARACT 44	616509
Dystonia 6, torsion	C538003
Chondrodysplasia, acromesomelic, with genital anomalies	C537913
Fibrosis of Extraocular Muscles, Congenital, 3B	C567739
OCCULT MACULAR DYSTROPHY	613587
valvular abnormalities	D006349
Thrombosis	D013927
Charcot-Marie-Tooth disease, Type 4E	C535301
Brachydactyly type A1	C537088
Sphincter of Oddi spasm	D013035
Choledochal Cyst	D015529
Band Heterotopia of Brain	C563950
CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 6	615771
Genitopatellar Syndrome	C565255
Chromosome 17 deletion	C538045
Tietz syndrome	C536919
MUCOPOLYSACCHARIDOSIS-PLUS SYNDROME	617303
neurodegeneration	D009422
Immunoglobulin Light-chain Amyloidosis	D000075363
hippocampal injury	D001930
idiopathic orthostatic hypotension	C544351
Ureaplasma Infections	D016869
Male Pseudohermaphroditism due to Deficiency of Testicular 17,20-Desmolase	C564109
Neuroblastoma	D009447
Anemia, Hypoplastic, Congenital	D029502
Osteogenesis imperfecta, type 6	C536047
synovitis	D013585
brain damage	D001925
Corneal dystrophy, Fuchs' endothelial, 1	C535478
hyperglyceridemic effect	D050171
Spinocerebellar ataxia 14	C537196
Lipodystrophy, Congenital Generalized	D052497
mitral valve prolapse	D008945
Lipomatosis	D008068
Galactorrhea	D005687
Charcot-Marie-Tooth disease, Type 1F	C537987
visual field abnormalities	D014786
AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS	616050
Actinomycosis	D000196
myoclonic, atypical absence and/or atonic (minor motor) seizures	D004832
Encephalocraniocutaneous lipomatosis	C535736
macroprolactinoma	D015175
Bartter Syndrome, Type 4A	C566530
Asphyxia	D001237
Hypervitaminosis A	D006986
Edema, Cardiac	D004489
Oral Submucous Fibrosis	D009914
MENTAL RETARDATION, AUTOSOMAL DOMINANT 38	616393
cardiac failure	D006333
Eye Injuries	D005131
aneurysms	D000783
IST	D014012
Pituitary Apoplexy	D010899
Nonalcoholic fatty liver disease	D065626
Cortical dysplasia	D054220
Persistent Vegetative State	D018458
chronic liver disease	D008107
Retinal Cone Dystrophy 4	C566470
cardiac and renal lesions	D006331
Lymphatic Metastasis	D008207
Disorders of Environmental Origin	D007280
IMMUNODEFICIENCY 19	615617
leukaemia	D007938
Horse Diseases	D006734
polyarthralgia	D018771
Facial Dysmorphism with Multiple Malformations	C565579
tonic-clonic seizure	D012640
Malignant Carcinoid Syndrome	D008303
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 30	616341
coronary artery or myocardial disease	D003324
Pneumoconiosis	D011009
Orthostatic hypotension	D007024
Liver Tumors	D008113
postoperative nausea and vomiting	D020250
attention deficit disorder	D001289
mitochondrial abnormalities	D028361
Colorectal Cancer, Hereditary Nonpolyposis, Type 7	C565777
Papillorenal syndrome	C537168
cerebellar dysfunction	D002526
Chikungunya Fever	D065632
Status Asthmaticus	D013224
ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND THIN CORPUS CALLOSUM	617193
Glycogen Storage Disease 0, Liver	C565485
Deoxyguanosine Kinase Deficiency	C580039
Cole Carpenter syndrome	C535963
SUNCT Syndrome	D050798
vacuolar degeneration	C536522
ischemic myocardium	D017202
neutropenic	D009503
Tissue Adhesions	D000267
open angle glaucoma	D005902
carcinogenesis	D063646
SPASTIC PARAPLEGIA 74, AUTOSOMAL RECESSIVE	616451
Corneal dystrophy, gelatinous drop-like	C535480
Cystadenoma	D003537
Neutropenia, Severe Congenital, Autosomal Dominant 1	C565969
Riboflavin Deficiency	D012257
memory and learning impairments	D008569
multiple sclerosis	D009103
Postrenal failure	D007674
Dystonia 12	C538001
Salmonella Food Poisoning	D012478
BASEL-VANAGAITE-SMIRIN-YOSEF SYNDROME	616449
Cataract, Cortical, Juvenile-Onset	C566955
Mental Retardation, X-Linked, Syndromic, Turner Type	C567476
Rufous oculocutaneous albinism	C537189
Whispering dysphonia, hereditary	C536698
DEAFNESS, AUTOSOMAL RECESSIVE 97	616705
Sweat Gland Neoplasms	D013544
Neurobehavioral Manifestations	D019954
Cataract, Juvenile, With Microcornea And Glucosuria	C567434
bilateral retrobulbar neuropathy	D009901
Musculoskeletal pain	D059352
Spastic Paraplegia 18, Autosomal Recessive	C567628
Gonadal Dysgenesis, 46,XY	D006061
Affective Disorders, Psychotic	D000341
Chromosome 17q21.31 Deletion Syndrome	C566476
Steinert's disease	D009223
Carcinoma, Adenoid Cystic	D003528
Keratitis, hereditary	C537022
arterial dysfunction	D018754
hemolytic uremic syndrome	D006463
hypocellular marrow	D001855
hemiplegic migraine	D020325
Visual and auditory neurotoxicity	D014786
reperfusion injury	D015427
type B hepatitis	D006509
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 23	616198
MYOPATHY, DISTAL, 5	617030
Pericarditis, Constrictive	D010494
tubulointerstitial injury	-1
PEROXISOME BIOGENESIS DISORDER 4B	614863
Complement Component 4a Deficiency	C565167
Osteogenesis imperfecta, type VIII	C536049
Guillain-Barr   syndrome	D020275
nephrotoxic	D007674
Spinocerebellar Ataxia 11	C565772
HEMORRHAGIC DESTRUCTION OF THE BRAIN, SUBEPENDYMAL CALCIFICATION, AND CATARACTS	613730
Vascular Headaches	D014653
Chalazion	D017043
Osteopetrosis, Autosomal Recessive 7	C567354
DEAFNESS, AUTOSOMAL RECESSIVE 102	615974
viral infection	D014777
Macular Degeneration, Age-Related, 7	C565718
Lymphoproliferative Disorders	D008232
Mental Retardation, Autosomal Recessive 2	C564404
colorectal, breast and head and neck cancers	D001943
FETAL ENCASEMENT SYNDROME	613630
Bardet-Biedl Syndrome 13	C567140
Shock, Septic	D012772
Placenta Diseases	D010922
Colic	D003085
obsessive compulsive disorder	D009771
orofacial diskinesia	D004409
mesangial dysfunction	D007674
NAIL DISORDER, NONSYNDROMIC CONGENITAL, 1	161050
Neurofibroma	D009455
De Sanctis-Cacchione syndrome	C535992
Polymicrogyria, Bilateral Occipital	C567201
cough	D003371
MICROCEPHALY, SHORT STATURE, AND POLYMICROGYRIA WITH OR WITHOUT SEIZURES	614833
Hypertrophy	D006984
growth impairment	D006130
primary headaches	D051270
erythema	D004890
Supranuclear Palsy, Progressive	D013494
Myocardial Reperfusion Injury	D015428
Lacrimal Apparatus Diseases	D007766
impaired heart function	D006331
Bulimia Nervosa	D052018
coronary stenoses	D023921
Papillomavirus Infections	D030361
Gastroenteritis	D005759
Night Blindness	D009755
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Z	616688
Basal Ganglia Hemorrhage	D020145
Barotrauma	D001469
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 27	616672
Veno-occlusive liver disease	D006504
Sarcoma, Clear Cell	D018227
SS	D020230
Facies	D019066
High serum cholesterol, familial	C538646
cryptococcal meningitis	D016919
MENTAL RETARDATION, X-LINKED, SYNDROMIC 34	300967
Tuberculosis, Meningeal	D014390
Strongyle Infections, Equine	D013319
Androgen-Insensitivity Syndrome	D013734
hematological and gastrointestinal toxicities	D005767
deficit in fear recognition	D001925
Neuraminidase deficiency with beta-galactosidase deficiency	C536411
Pulmonary Disease, Chronic Obstructive	D029424
Paralysis, Hyperkalemic Periodic	D020513
Atrial myxoma, familial	C538262
melanoma	D008545
Vascular Malformation, Primary Intraosseous	C564648
emergency department	D004630
Morphine Dependence	D009021
FANCONI ANEMIA, COMPLEMENTATION GROUP O	613390
enlargement of the liver	D006529
TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 5	615506
bipolar depression	D001714
learning and memory impairment	D007859
lupus	D008180
Lactate Dehydrogenase B Deficiency	C563641
PERIODIC FEVER, MENSTRUAL CYCLE-DEPENDENT	614674
Inosine Triphosphatase Deficiency	C564127
Nemaline myopathy 6	C538398
somatic rigidity	D009127
Bone Marrow Diseases	D001855
Teratogenesis	D064793
Multiple Myeloma	D009101
gallstone	D042882
Tietze's Syndrome	D013991
Hemorrhagic Fever with Renal Syndrome	D006480
LV Cutaneous lesions	D018366
Sarcoidosis, Pulmonary	D017565
MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 4	612628
hemolytic anemias	D000743
Candidiasis	D002177
AUTOIMMUNE DISEASE, MULTISYSTEM, INFANTILE-ONSET, 2	617006
Wernicke Encephalopathy	D014899
Microcephaly, Primary Autosomal Recessive, 7	C567198
Mitochondrial myopathy with lactic acidosis	C537476
onychomycosis	D014009
Hemangioma, capillary infantile	C535860
liver, blood, skin, and renal disorders	D007674
Hyperlipidemia, Familial Combined	D006950
axonal degeneration	D009410
COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7	613559
Cutis Laxa, Autosomal Recessive, Type IIA	C562632
Galactorrhea-Hyperprolactinemia	C535402
hyperkinetic	D006948
visual deficits	D014786
PEROXISOME BIOGENESIS DISORDER 13A (ZELLWEGER)	614887
Hypothyroidism, Congenital, Nongoitrous, 2	C566852
auditory abnormality	D006311
disorders of the central nervous system	D002493
Combined Oxidative Phosphorylation Deficiency 3	C566467
MERRF Syndrome	D017243
Spastic paraplegia 12, autosomal dominant	C537484
Glucose-Galactose Malabsorption	C562602
stroke	D020521
Binasal visual field defects	D014786
Jaw Diseases	D007571
End Stage Liver Disease	D058625
Reflex Sympathetic Dystrophy	D012019
congestive heart failure	D006333
Paralysis, Obstetric	D010246
Cardiac disturbances	D006331
Eye Burns	D005126
sinus tachycardias	D013616
THYROID CANCER, NONMEDULLARY, 5	616535
Causalgia	D002422
IS	D002544
Mercury Poisoning, Nervous System	D020262
Crouzon Syndrome With Acanthosis Nigricans	C567382
Fasciculation	D005207
Parkinsonism, early onset with mental retardation	C537179
raised intraocular pressure	D009798
Fever	D005334
non-convulsive status epilepticus	D013226
Gastritis, Atrophic	D005757
Striatonigral Degeneration	D020955
Complex Regional Pain Syndromes	D020918
Hawkinsinuria	C535845
MITOCHONDRIAL PYRUVATE CARRIER DEFICIENCY	614741
septal rupture	D018658
CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL RECESSIVE, TYPE 2A2B	617087
Polycythemia Vera	D011087
Corneal Dystrophy, Congenital Stromal	C566452
Sebaceous Gland Neoplasms	D012626
a falling platelet count	D001791
Combined Oxidative Phosphorylation Deficiency 4	C565690
HYPERPARATHYROIDISM 4	617343
46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy	C567773
vocal fold palsy	D014826
hepatocarcinogenesis	D063646
Xanthinuria, Type I	C562584
Cardiomyopathy, Hypertrophic	D002312
PEHO syndrome	C536317
Renal dysfunction	D007674
TIA	D002546
coronary occlusion	D054059
Eosinophilic Granuloma	D004803
MENTAL RETARDATION, AUTOSOMAL RECESSIVE 34, WITH VARIANT LISSENCEPHALY	614499
Congenital contractural arachnodactyly	C536211
AORTIC VALVE DISEASE 2	614823
a significant rise in systolic blood pressure	D006973
Anemia, Hemolytic, Autoimmune	D000744
Central Nervous System Bacterial Infections	D020806
Beckwith-Wiedemann Syndrome	D001506
CREST Syndrome	D017675
nephrogenic DI	D018500
STRIATAL DEGENERATION, AUTOSOMAL DOMINANT 2	616922
BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 9	602025
PARKINSON DISEASE 1, AUTOSOMAL DOMINANT	168601
Chondrocalcinosis 2	C563162
Cone-Rod Dystrophy 10	C564597
Scalp ear nipple syndrome	C536623
Monoclonal Gammopathy of Undetermined Significance	D008998
muscular rigidity	D009127
acute kidney injury	D058186
SEIZURES, CORTICAL BLINDNESS, AND MICROCEPHALY SYNDROME	616632
Sick Sinus Syndrome 2, Autosomal Dominant	C563513
gangrene	D005734
MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECESSIVE	615414
Endometrial cancers	D016889
nystagmus	C564088
bronchospasm	D001986
RETINITIS PIGMENTOSA 45	613767
Dyskeratosis Congenita, Autosomal Dominant	C565079
coma	D003128
hypothyroid	D007037
Xeroderma Pigmentosum, Complementation Group C	C567886
Brachydactyly, Type D	C562420
Usher syndrome, type 1D	C536487
Brain Diseases	D001927
Mowat-Wilson syndrome	C536990
Drug-Induced Acute Liver Injury	D056486
Labyrinthitis	D007762
Reactive Attachment Disorder	D019962
Spondylosis	D055009
Herpes Zoster Ophthalmicus	D006563
IgA nephropathy	D005922
halothane hepatitis	C562477
hepatocarcinogens	D008113
AKI	D058186
Epistaxis	D004844
ototoxicity	D006311
Complement Component 6 Deficiency	C567307
epileptiform activity	D004827
Arachnodactyly	D054119
Alcohol-Related Disorders	D019973
Biliary Dyskinesia	D001657
